"","filing","variable","value"
"1","2010","share_mrna",0.0125305705809982
"2","2011","share_mrna",0.0108508506291833
"3","2012","share_mrna",0.0102003293937291
"4","2013","share_mrna",0.0104343986852756
"5","2014","share_mrna",0.0109930016113129
"6","2015","share_mrna",0.011333971144647
"7","2016","share_mrna",0.0124115133938317
"8","2017","share_mrna",0.013107383629126
"9","2018","share_mrna",0.0137259723166375
"10","2019","share_mrna",0.0107060723461963
"11","2020","share_mrna",0.0122801083956525
"12","2010","share_vaccine",0.105828953655041
"13","2011","share_vaccine",0.0933673469387755
"14","2012","share_vaccine",0.0903782685960904
"15","2013","share_vaccine",0.0839210155148096
"16","2014","share_vaccine",0.0859768103259681
"17","2015","share_vaccine",0.0981972428419936
"18","2016","share_vaccine",0.126014688828759
"19","2017","share_vaccine",0.112714156898106
"20","2018","share_vaccine",0.155075518089217
"21","2019","share_vaccine",0.155880130949383
"22","2020","share_vaccine",0.2019721183271
"23","2010","share_cancervaccine",0.0291447682752031
"24","2011","share_cancervaccine",0.0280612244897959
"25","2012","share_cancervaccine",0.0314800710840315
"26","2013","share_cancervaccine",0.0296191819464034
"27","2014","share_cancervaccine",0.0343469700284402
"28","2015","share_cancervaccine",0.0335100742311771
"29","2016","share_cancervaccine",0.0591418631619637
"30","2017","share_cancervaccine",0.0557258791704238
"31","2018","share_cancervaccine",0.0848261327713383
"32","2019","share_cancervaccine",0.0956937799043062
"33","2020","share_cancervaccine",0.135328119687181
"34","2010","share_coronavaccine",0.00143334925943622
"35","2011","share_coronavaccine",0.00561224489795918
"36","2012","share_coronavaccine",0.00253871541000254
"37","2013","share_coronavaccine",0.00235072872590503
"38","2014","share_coronavaccine",0.000875082038941151
"39","2015","share_coronavaccine",0.00339342523860021
"40","2016","share_coronavaccine",0.00347893312717433
"41","2017","share_coronavaccine",0.00396753832281335
"42","2018","share_coronavaccine",0.00421496311907271
"43","2019","share_coronavaccine",0.00100730294636112
"44","2020","share_coronavaccine",0.0108806528391704
